timestamp_sec,x,y,z,yaw_rad
1768467776,0.0002847849008154138,4.4961573259996667e-07,0.0,0.003157578633906732
1768467860,0.1406024445451442,-0.0005347584050427649,0.0,-0.0025932040244564737
1768467861,0.25833974872376264,-0.001928101119413877,0.0,-0.003011619683186944
1768467861,0.3811743342400639,-0.005368361788357312,0.0,-0.002257498437800739
1768467861,0.4895267599536928,-0.00609389267328984,0.0,-0.07052736498784606
1768467862,0.5970743947754685,-0.007829182374997613,0.0,-0.001610413756276049
1768467862,0.719723326977176,-0.0079854292057598,0.0,-0.0010849615336843345
1768467863,0.8425772834338162,-0.01019349950739214,0.0,-0.0010119820583246867
1768467863,0.9657088667536853,-0.010383716170513221,0.0,-0.0016493361431348206
1768467863,1.088178583317808,-0.010527568267611987,0.0,-0.0010703656386126005
1768467864,1.1894664969620512,-0.010559286446489999,0.0,0.0006957376650980167
1768467866,1.270942410943422,-0.01036177940319864,0.0,-0.5015392811652928
1768467867,1.2843211198712738,-0.024404016851642955,0.0,-0.9198333074366825
1768467868,1.3435305624926763,-0.11809350030981766,0.0,-0.9955324845783696
1768467869,1.3732453634276656,-0.17709375499600294,0.0,-1.4534397700751343
1768467870,1.373118940734326,-0.27936861864005486,0.0,-1.5334447362630572
1768467871,1.3717655787221446,-0.4047682616921351,0.0,-1.586218627545008
1768467871,1.3699713985276916,-0.5275548220758242,0.0,-1.5851920495916114
1768467871,1.3689110568785396,-0.6351032854776749,0.0,-1.517627651303379
1768467872,1.368950987882794,-0.7429607425014219,0.0,-1.5839173414219916
1768467872,1.36706871284148,-0.8599938210288726,0.0,-1.5954529638272186
1768467873,1.3657176502164987,-0.9663759581230835,0.0,-1.6487474420334045
1768467874,1.3582851722380698,-0.9972926249070001,0.0,-2.0922437137957597
1768467874,1.3696765988288275,-0.9848718298179732,0.0,-2.5216062938300734
1768467875,1.338131693445188,-0.9988233535859266,0.0,-2.9492368276491767
1768467876,1.2194206570981263,-1.010905132983527,0.0,-3.077938565095609
1768467876,1.0847447725013755,-1.019498692373439,0.0,-3.0783910378428407
1768467877,0.9814315695042747,-1.0275752957576163,0.0,-3.011089365665904
1768467877,0.8743483205155141,-1.0369632044100765,0.0,-3.0787072822360675
1768467877,0.7518373825672586,-1.0447458234089986,0.0,-3.078352115455982
1768467878,0.6293462793910223,-1.05571712652089,0.0,-3.0773547292927295
1768467878,0.5070729153477094,-1.065714727635816,0.0,-3.0769557748274288
1768467879,0.3997802144526578,-1.0732007314488414,0.0,-3.008612928802024
1768467879,0.29105064336141717,-1.0807709940227188,0.0,-3.0762600371623288
1768467879,0.17067572495499864,-1.093712941176362,0.0,-3.0752091327171454
1768467880,0.04303309975427748,-1.10566006109164,0.0,-3.0693318523014916
1768467888,-0.00513702147903102,-1.1059550104922171,0.0,2.8032222735194994
1768467889,0.01021659446932323,-1.1161565916272738,0.0,2.3824615409809433
